lemmas_inflected	orig_inflected
opinione	Opinione
religionis	religionis
dulciter	dulciter
nominando	nominando
et	et
caritatis	caritatis
vinculo	vinculo
abluendo	abluendo
ille	ille
peccator	peccator
salutem	salutem
in	in
domino	Domino
perennem	perennem
litteris	Litteris
tuis	tuis
parvitatem	parvitatem
meam	meam
postolasti	postolasti
ut	ut
sentenciam	sentenciam
canonum	canonum
perquirerae[m]	perquirerae[m]
de	de
iudicio	iudicio
mulieris	mulieris
que	que
post	post
consegratam	consegratam
et	et
professam	professam
castitatem	castitatem
deo	Deo
fuerat	fuerat
conservare	conservare
adulterium	adulterium
perpetraverat	perpetraverat
quamque	Quamque
in	in
sancta	sancta
sinodo	sinodo
nicena	Nicena
calcidonense	Calcidonense
et	et
efesena	Efesena
vel	vel
constantinopolitana	Constantinopolitana
super	super
hac	hac
rae	rae
capitulum	capitulum
non	non
invenimus	invenimus
que	que
quattuor	quattuor
sinodus	sinodus
tantum	tantum
terrarum	terrarum
venerabiliter	venerabiliter
recepit	recepit
et	et
concredit	concredit
adtamen	adtamen
in	in
aurelianense	Aurelianense
sinodo	sinodo
de	de
hac	hac
re	re
invenimus	invenimus
praefinitum	praefinitum
iudicium	iudicium
quod	quod
tibi	tibi
distinavimus	distinavimus
et	et
ex	ex
ipsa	ipsa
auctoritate	auctoritate
iuditium	iuditium
conservandum	conservandum
praedicti	praedicti
mulieri	mulieri
direximus	direximus
sub	Sub
qua	qua
sententia	sententia
consilium	consilium
dedimus	dedimus
ex	ex
divinarum	divinarum
scripturarum	scripturarum
fonte	fonte
flumina	flumina
sentenciarum	sentenciarum
viva	viva
vel	vel
stipites	stipites
inmobilium	inmobilium
columnarum	columnarum
quorum	quorum
unda	unda
bibens	bibens
et	et
amplexu	amplexu
se	se
tenens	tenens
non	non
timeat	timeat
iterum	iterum
labi	labi
in	in
ruina	ruina
neque	neque
iter[um]	iter[um]
[disper]arae	[disper]arae
pro	pro
praeterito	praeterito
lapsu	lapsu
possit	possit
de	de
venia	venia
sed	sed
praedicta	praedicta
teneat	teneat
consilia	consilia
memoret[ur]	Memoretur
evangelicae	evangelicae
mulieris	mulieris
illius	illius
peccatricis	peccatricis
mariae	Mariae
magdalene	Magdalene
quem	quem
septem	septem
viciis	viciis
repleta	repleta
fuerat	fuerat
de	de
qua	qua
dominus	Dominus
septem	septem
demonia	demonia
eiecit	eiecit
que	que
domini	Domini
pedes	pedes
lacrimis	lacrimis
lavit	lavit
crinibus	crinibus
tergit	tergit
labris	labris
fortiter	fortiter
inpraessis	inpraessis
exardenti	exardenti
amorae	amorae
osculata	osculata
est	est
et	et
unguento	unguento
praetioso	praetioso
unxit	unxit
de	de
qua	qua
dominus	Dominus
dixit	dixit
remittuntur	Remittuntur
ei	ei
peccata	peccata
multa	multa
quoniam	quoniam
dilexit	dilexit
multum	multum
et	Et
ipsa	ipsa
est	est
quem	quem
semper	semper
dominum	Dominum
postsecuta	postsecuta
usque	usque
ad	ad
crucifixionem	crucifixionem
et	et
sepulturam	sepulturam
et	et
ipsa	ipsa
prima	prima
post	post
resurrectionem	resurrectionem
anteque	anteque
nullus	nullus
apostolus	apostolus
et	et
anteque	anteque
mater	mater
domini	Domini
gloriosissima	gloriosissima
maria	Maria
semper	semper
virgo	virgo
et	et
angelus	angelus
et	et
ad	ad
dominum	Dominum
meruit	meruit
viderae	viderae
ipsa	Ipsa
est	est
soror	soror
marte	Marte
et	et
lazari	Lazari
quem	quem
dominus	Dominus
quatriduanum	quatriduanum
mortuum	mortuum
suscitavit	suscitavit
et	Et
redemptor	redemptor
noster	noster
pro	pro
peccatoribus	peccatoribus
et	et
adulteris	adulteris
in	in
hunc	hunc
mundum	mundum
se	se
venisse	venisse
dixit	dixit
non	non
pro	pro
iustis	iustis
et	Et
ipsa	ipsa
veritas	veritas
dicit	dicit
que	que
non	non
sit	sit
opus	opus
sanus	sanus
medicus	medicus
paulus	Paulus
apostolus	apostolus
persecutor	persecutor
christianorum	christianorum
et	et
homicida	homicida
sancti	sancti
stephani	Stephani
interfector	interfector
noster	noster
et	et
omnium	omnium
gentium	gentium
factus	factus
est	est
praeceptor	praeceptor
quid	Quid
dicam	dicam
de	de
matheo	Matheo
thelonario	thelonario
et	et
postea	postea
evangelista	evangelista
quid	Quid
de	de
zacheo	Zacheo
qui	qui
de	de
arbore	arbore
siccomorum	siccomorum
iam	iam
inluminatus	inluminatus
cordae	cordae
pro	pro
parva	parva
statura	statura
corporis	corporis
sui	sui
dominum	Dominum
viderae	viderae
cupiebat	cupiebat
quid	Quid
de	de
publicano	publicano
illo	illo
in	in
evangelio	evangelio
scripto	scripto
qui	qui
pectus	pectus
suum	suum
percuciebat	percuciebat
dicens	dicens
non	Non
sum	sum
dignus	dignus
levare	levare
oculos	oculos
meos	meos
ad	ad
caelus	caelus
esto	Esto
mihi	mihi
domine	Domine
propicius	propicius
peccatori	peccatori
et	et
descendit	descendit
iustificatus	iustificatus
magis	magis
quam	quam
phariseus	phariseus
illi	illi
qui	qui
iactabat	iactabat
merita	merita
sua	sua
et	et
stando	stando
orabat	orabat
quid	Quid
adhuc	adhuc
augendam	augendam
consolationem	consolationem
dominus	Dominus
et	et
redemptor	redemptor
noster	noster
in	in
evangelio	evangelio
dicit	dicit
similitudinem	similitudinem
gloriosam	gloriosam
piissimi	piissimi
pastoris	pastoris
perfecisse	perfecisse
qui	qui
nonaginta	nonaginta
novem	novem
oves	oves
in	in
montibus	montibus
derelictis	derelictis
errantem	errantem
unam	unam
pastor	pastor
clementissimus	clementissimus
cum	cum
multo	multo
laborae	laborae
lustrando	lustrando
squalida	squalida
loca	loca
perquisivit	perquisivit
et	et
invenit	invenit
et	et
in	in
umeris	umeris
suis	suis
inposuit	inposuit
et	et
ad	ad
gregem	gregem
salva	salva
reduxit	reduxit
ut	ut
et	et
numerus	numerus
perfectum	perfectum
centenar[ium]	centenar[ium]
impleret	impleret
ut	ut
perfecti	perfecti
gregis	gregis
dominus	dominus
esset	esset
et	et
nos	nos
miseros	miseros
peccatores	peccatores
errantes	errantes
per	per
fragilitatem	fragilitatem
corporis	corporis
iustis	iustis
et	et
innocentibus	innocentibus
adgregaret	adgregaret
et	et
dixit	dixit
plus	plus
se	se
gauderae	gauderae
super	super
uno	uno
peccatorae	peccatorae
penitenciam	penitenciam
agentem	agentem
quam	quam
super	super
nonaginta	nonaginta
novem	novem
iustos	iustos
non	non
indigent	indigent
es	es
penitenciam	penitenciam
si	Si
futuri	futuri
temporis	temporis
cautilla	cautilla
largiente	largiente
christi	Christi
gratia	gratia
adhibeatur	adhibeatur
ut	ut
culpa	culpa
non	non
iteretur	iteretur
que	que
multis	multis
fletibus	fletibus
diebus	diebus
et	et
noctibus	noctibus
publicae	publicae
et	et
oculte	oculte
geiuniis	geiuniis
orationibus	orationibus
gemitibus	gemitibus
suspiriis	suspiriis
laboribus	laboribus
obaedientia	obaedientia
et	et
taciturnitate	taciturnitate
humilitate	humilitate
et	et
caritate	caritate
preterita	preterita
debeatur	debeatur
et	Et
non	non
sunt	sunt
querenda	querenda
aut	aut
numeranda	numeranda
annorum	annorum
tempora	tempora
ad	ad
agendam	agendam
penitenciam	penitenciam
sed	sed
fortitudo	fortitudo
cuiuslibet	cuiuslibet
temporis	temporis
vel	vel
momenti	momenti
conpunctionis	conpunctionis
timoris	timoris
sui	sui
de	de
peccato	peccato
et	et
amoris	amoris
dei	Dei
ex	ex
toto	toto
cordis	cordis
desiderio	desiderio
ad	Ad
haec	haec
verba	verba
confirmanda	confirmanda
testis	testis
est	est
excelentissimus	excelentissimus
propheta	propheta
qui	qui
spiritu	spiritu
dei	Dei
plenus	plenus
dicit	dicit
peccator	Peccator
in	in
quacumque	quacumque
die	die
aut	aut
in	in
quacumque	quacumque
ora	ora
conversus	conversus
fuerit	fuerit
et	et
ingemuerit	ingemuerit
omnia	omnia
peccata	peccata
sua	sua
oblivione	oblivione
traduntur	traduntur
et	Et
latro	latro
ille	ille
qui	qui
iuxta	iuxta
dominum	Dominum
crucifixus	crucifixus
fuerat	fuerat
subita	subita
confessione	confessione
confessus	confessus
et	et
fide	fide
plenus	plenus
credidit	credidit
hominem	hominem
quem	quem
videbat	videbat
crucifixum	crucifixum
dei	Dei
omnipotentis	omnipotentis
filium	filium
deum	Deum
vivum	vivum
et	et
verum	verum
non	non
anno[s]	annos
aut	aut
menses	menses
aut	aut
dies	dies
egit	egit
in	in
penitencia	penitencia
quem	quem
velox	velox
mors	mors
arripuit	arripuit
et	et
iuxta	iuxta
verbum	verbum
domini	Domini
in	in
paradiso	paradiso
ante	ante
petrum	Petrum
apostolum	apostolum
introivit	introivit
et	Et
populus	populus
ninive	Ninive
civitatis	civitatis
triduano	triduano
ieiunio	ieiunio
fletu	fletu
cinerae	cinerae
cilicio	cilicio
plancto	plancto
et	et
gemitu	gemitu
concinnente	concinnente
de	de
voragine	voragine
submersionis	submersionis
suae	suae
et	et
irae	irae
dei	Dei
meruit	meruit
evaderae	evaderae
et	Et
david	David
rex	rex
et	et
propheta	propheta
spiritu	spiritu
dei	Dei
plenus	plenus
pro	pro
homicidii	homicidii
et	et
adulterii	adulterii
facinorae	facinorae
natan	Natan
propheta	propheta
arguente	arguente
de	de
solio	solio
regni	regni
non	non
erubuit	erubuit
coram	coram
omni	omni
multitudine	multitudine
faciem	faciem
suam	suam
darae	darae
in	in
pulverem	pulverem
et	et
pariter	pariter
erupit	erupit
in	in
vocem	vocem
amatissime	amatissime
penitenciae	penitenciae
dicens	dicens
peccavi	Peccavi
domine	Domine
peccavi	peccavi
et	et
dominus	Dominus
per	per
prophetam	prophetam
dixit	dixit
ei	ei
remissum	Remissum
est	est
peccatum	peccatum
tuum	tuum
ecce	Ecce
quantum	quantum
valet	valet
humilitas	humilitas
quantum	quantum
obtinet	obtinet
caritas	caritas
quia	quia
etsi	etsi
sunt	sunt
dura	dura
peccata	peccata
nostra	nostra
apostolo	apostolo
dicente	dicente
velut	velut
stipula	stipula
fenum	fenum
ligna	ligna
si	si
abundaverimus	abundaverimus
igni	igni
amoris	amoris
dei	Dei
possumus	possumus
