lemmas_inflected	orig_inflected
praecaria	PRAECARIA
de	DE
ipsa	IPSA
villa	VILLA
dum	DUM
vivit	VIVIT
domino	Domino
sancto	sancto
et	et
apostolica	apostolica
sede	sede
colendo	colendo
domno	domno
et	et
in	in
christo	Christo
patri	patri
illo	illo
episcopo	episcopo
illi	illi
et	et
coniux	coniux
mea	mea
illa	illa
pluribus	Pluribus
non	non
est	est
incognitum	incognitum
qualiter	qualiter
propter	propter
nomen	nomen
domini	Domini
ad	ad
aecclesia	aecclesia
illa	illa
in	in
honore	honore
sancti	sancti
illi	illi
villa	villa
nostra	nostra
nuncupante	nuncupante
illa	illa
sitam	sitam
in	in
pago	pago
illo	illo
quicquid	quicquid
ibidem	ibidem
undecumque	undecumque
nostra	nostra
fuit	fuit
possessio	possessio
in	in
integritate	integritate
per	per
aepistolam	aepistolam
cessionis	cessionis
nostrae	nostrae
visi	visi
fuimus	fuimus
concessisse	concessisse
et	Et
eam	eam
vos	vos
ad	ad
parte	parte
suprascribtae	suprascribtae
aecclesiae	aecclesiae
recipistis	recipistis
sed	Sed
dum	dum
postea	postea
nostra	nostra
fuit	fuit
petitio	petitio
et	et
vestra	vestra
benevolentia	benevolentia
et	et
pietas	pietas
habuit	habuit
ut	ut
ipsa	ipsa
villa	villa
dum	dum
advivimus	advivimus
aut	aut
qui	qui
pare	pare
suo	suo
ex	ex
nobis	nobis
subprestis	subprestis
fuerit	fuerit
dum	dum
advivit	advivit
nobis	nobis
ad	ad
beneficium	beneficium
usufructuario	usufructuario
ordine	ordine
excolendum	excolendum
tenere	tenere
permisistis	permisistis
ea	ea
scilicet	scilicet
ratione	ratione
ut	ut
nihil	nihil
exinde	exinde
paenitus	paenitus
de	de
qualibet	qualibet
rem	rem
alienandi	alienandi
aut	aut
minuandi	minuandi
pontificium	pontificium
non	non
habeamus	habeamus
sed	sed
absque	absque
ullo	ullo
praeiudicio	praeiudicio
suprascribtae	suprascribtae
aecclesiae	aecclesiae
vel	vel
vestro	vestro
eam	eam
tantummodo	tantummodo
excolere	excolere
debeamus	debeamus
ideo	Ideo
hanc	hanc
praecaria	praecaria
vobis	vobis
emittimus	emittimus
ut	ut
nullo	nullo
umquam	umquam
tempore	tempore
nostra	nostra
possessio	possessio
etiamsi	etiamsi
spatium	spatium
vitae	vitae
nobis	nobis
dominus	Dominus
prolongare	prolongare
dignaverit	dignaverit
nullo	nullo
praeiudicio	praeiudicio
aut	aut
deminutione	deminutione
aliqua	aliqua
de	de
ipsa	ipsa
villa	villa
vobis	vobis
generare	generare
non	non
debeat	debeat
nisi	nisi
usu	usu
tantum	tantum
dum	dum
advivimus	advivimus
habere	habere
debeamus	debeamus
et	et
post	post
nostrum	nostrum
ambobus	ambobus
discessum	discessum
cum	cum
omne	omne
re	re
meliorata	meliorata
quicquid	quicquid
ibidem	ibidem
undique	undique
adtrahere	adtrahere
aut	aut
meliorare	meliorare
poterimus	poterimus
per	per
hanc	hanc
precaturia	precaturia
acsi	acsi
semper	semper
per	per
quinquennium	quinquennium
renovata	renovata
fuisset	fuisset
absque	absque
ullius	ullius
iudicis	iudicis
aut	aut
heredum	heredum
nostrorum	nostrorum
expectata	expectata
tradicione	tradicione
vos	vos
vel	vel
successores	successores
vestri	vestri
aut	aut
agentes	agentes
aecclesiae	aecclesiae
in	in
vestram	vestram
eam	eam
faciatis	faciatis
dominatione	dominatione
revocare	revocare
perpetualiter	perpetualiter
possedendum	possedendum
vel	Vel
quicquid	quicquid
exinde	exinde
facere	facere
elegeritis	elegeritis
sicut	sicut
nostra	nostra
contenit	contenit
aepistula	aepistola
ad	ad
profectum	profectum
praefate	praefate
aecclesiae	aecclesiae
domni	domni
illius	illius
liberum	liberum
habeatis	habeatis
arbitrium	arbitrium
facta	Facta
precaria	precaria
ibi	ibi
