lemmas_inflected	orig_inflected
notum	Notum
sit	sit
successoribus	successoribus
nostris	nostris
quod	quod
ego	ego
serlo	Serlo
episcopus	episcopus
sagiensis	Sagiensis
feci	feci
hanc	hanc
concordiam	concordiam
fieri	fieri
subtus	subtus
notatam	notatam
inter	inter
donnum	donnum
xxxvta	xxvta
abbatem	abbatem
wilelmum	Wilelmum
majoris	Majoris
monasterii	Monasterii
et	et
fulconem	Fulconem
archidiaconum	archidiaconum
meum	meum
predictus	Predictus
enim	enim
fulco	Fulco
reclamabat	reclamabat
terciam	terciam
partem	partem
archidiaconatus	archidiaconatus
cimiterii	cimiterii
sancti	Sancti
martini	Martini
veteris	Veteris
belismi	Belismi
monachi	Monachi
autem	autem
majoris	Majoris
monasterii	monasterii
totum	totum
archidiaconatum	archidiaconatum
ipsius	ipsius
cimiterii	cimiterii
predicteque	predicteque
ecclesie	ecclesie
suum	suum
esse	esse
dicebant	dicebant
ad	Ad
hoc	hoc
itaque	itaque
finis	finis
hujus	hujus
causae	causae
perductus	perductus
est	est
ut	ut
monachi	monachi
singulis	singulis
annis	annis
reddant	reddant
michi	michi
et	et
successoribus	successoribus
meis	meis
unam	unam
libram	libram
piperis	piperis
ad	ad
opus	opus
archidiaconi	archidiaconi
ad	ad
festum	festum
sancti	sancti
gervasii	Gervasii
in	in
estate	estate
pro	pro
illa	illa
tercia	tercia
parte	parte
archidiaconatus	archidiaconatus
unde	unde
tota	tota
lis	lis
surrexerat	surrexerat
et	et
ita	ita
in	in
pace	pace
obtinerent	obtinerent
quod	quod
reclamabant	reclamabant
pro	Pro
duabus	duabus
enim	enim
partibus	partibus
aliis	aliis
ipsius	ipsius
archidiaconatus	archidiaconatus
reddebant	reddebant
monachi	monachi
duas	duas
libras	libras
unam	unam
piperis	piperis
et	et
alteram	alteram
incensi	incensi
michi	michi
et	et
aecclesie	aecclesie
sancti	Sancti
gervasii	Gervasii
ad	ad
idem	idem
festum	festum
insuper	Insuper
ipsi	ipsi
archidiacono	archidiacono
fulconi	Fulconi
dederunt	dederunt
xxti	XXti
sol	sol
ut	ut
libentius	libentius
annueret	annueret
quod	Quod
ut	ut
firmum	firmum
permaneret	permaneret
concessum	concessum
est	est
a	a
capitulo	capitulo
nostro	nostro
presente	presente
ipso	ipso
archidiacono	archidiacono
coram	coram
me	me
in	in
aula	aula
mea	mea
apud	apud
sagium	Sagium
presente	presente
ranulfo	Ranulfo
cancellario	cancellario
et	et
grimaldo	Grimaldo
medico	medico
et	et
hugone	Hugone
filio	filio
segifredi	Segifredi
et	et
hugone	Hugone
archidiacono	archidiacono
et	et
johanne	Johanne
cantore	cantore
et	et
johanne	Johanne
thesaurario	thesaurario
et	et
wilelmo	Wilelmo
de	de
molins	Molins
et	et
pluribus	pluribus
aliis	aliis
clericis	clericis
nostris	nostris
monachis	Monachis
etiam	etiam
his	his
presentibus	presentibus
domno	domno
abbate	abbate
wilelmo	Wilelmo
et	et
priore	priore
fromindo	Fromindo
evano	Evano
sacrista	sacrista
rivallonio	Rivallonio
nicholao	Nicholao
laurentio	Laurentio
wilelmo	Wilelmo
tunc	tunc
tenporis	tenporis
priore	priore
belismi	Belismi
actum	Actum
est	est
hoc	hoc
anno	anno
ab	ab
incarnatione	incarnatione
domini	Domini
mocoxvii	MOCoXVII
indictione	indictione
x	X
